Gene,C,Z,Pval,FDR,Module
INO80B-WBP1,0.04248866214709892,3.738781432136153,9.245720304889494e-05,0.0001100828483617177,
AL512428.1,0.060659967840682436,3.7375354698601817,9.291644018147928e-05,0.00011062080894791364,
AC129492.4,0.06171752162782515,3.737180566929312,9.304764225136066e-05,0.00011076817576250582,
E2F3,0.04808465031610497,3.736933511277626,9.313907765425967e-05,0.00011086818278669332,
FAM106A,0.05212237313563597,3.73682053110901,9.318091980076912e-05,0.00011090914519305324,
SNX11,0.05093917205202354,3.7362016896829005,9.341042102776714e-05,0.00011117344559731144,
ZNHIT1,0.044441938399163446,3.7360892520421283,9.345217622910984e-05,0.00011121427366434845,
AC134669.1,0.05996038453079873,3.735622223252647,9.362580138878911e-05,0.00011141201668769571,
AL139260.2,0.049075916764985135,3.7346711002333994,9.398033400697464e-05,0.00011182498570921566,
AC009948.2,0.0842858137899077,3.7343215905231095,9.411093106363279e-05,0.00011197145448643765,
IFT80,0.036561259508778914,3.733809926735435,9.430242594645831e-05,0.00011219034925502377,
UBAC1,0.03922509745686634,3.7328818159438226,9.465071495721315e-05,0.00011259573016945494,
GPD1L,0.051988711687097774,3.732507255064043,9.479161728311928e-05,0.00011275436060125281,
PAQR4,0.07037912466562288,3.732399624635732,9.483214215112208e-05,0.00011279357656492425,
KCNC2,0.04141642117597659,3.7317552134187255,9.507511582431925e-05,0.00011307356018720526,
WDR41,0.031145987945938765,3.731304220343356,9.524550955582194e-05,0.00011326718619660245,
RPL34P27,0.052995079546768346,3.7311917481513035,9.528804837289351e-05,0.00011330874675871756,
C21orf91,0.04911026383601838,3.7296370437247375,9.587789526070597e-05,0.00011400106281317175,
CPSF3,0.050085146073799,3.729465611073111,9.594314556419251e-05,0.0001140695606401196,
CFAP410,0.02845987216792649,3.727551597221722,9.667449276830873e-05,0.00011492817890214021,
ACP2,0.06364970135798702,3.7275353522708925,9.668072234703388e-05,0.00011492817890214021,
NOP14-AS1,0.057844310450094194,3.7274446683534426,9.671550455140123e-05,0.00011496037079461428,
RBM14-RBM4,0.04033461565318473,3.7265640089552363,9.705389737991789e-05,0.00011535341398121143,
MBD2,0.03387788575699076,3.72582774131106,9.733766137415478e-05,0.00011568147064745289,
C15orf61,0.05400601856009607,3.7240386766019715,9.80304348081483e-05,0.00011649552586428068,
AC003665.1,0.043567538812863155,3.7237041701968443,9.816047761041996e-05,0.00011664077768593686,
DNAJC27,0.03882151535064479,3.722980263770608,9.844245884727892e-05,0.00011696653531905854,
NECAB3,0.05287237082003602,3.7228183218485404,9.850564372227487e-05,0.00011703229416128597,
RN7SL559P,0.046163861188890425,3.72181739879285,9.889702024279312e-05,0.00011748792846511524,
SGSH,0.051608084490125335,3.721631345405573,9.896993086037672e-05,0.00011756518844125762,
AP000766.1,0.04038159362680447,3.7216003427563296,9.898208508920725e-05,0.0001175702700824856,
AGAP9,0.05511138441199052,3.721401368579146,9.906012399628491e-05,0.00011765360207610956,
RBBP9,0.04814363381862961,3.7209871582839007,9.922276531360765e-05,0.00011783739500646203,
BECN1,0.04766285016405135,3.720074552464102,9.958198937281949e-05,0.00011825460265458046,
DCTN6,0.04107152089405572,3.7183001767806196,0.00010028392732647435,0.00011907025495295612,
UBE2Q2,0.04123517875229294,3.7182894687219896,0.00010028817748019729,0.00011907025495295612,
SLC39A1,0.06605422651112493,3.718277875321783,0.00010029277922713991,0.00011907025495295612,
NFRKB,0.033723743093494914,3.717614645850455,0.00010055636420784328,0.00011937369560445972,
PPRC1,0.048837495856074296,3.71685879573582,0.00010085755253091527,0.00011972172458282086,
AC118754.1,0.04717669593148242,3.7164683171038986,0.00010101348079866224,0.00011989728275140197,
