encoding,name,description,country,director,actor,vote,score,year,link
tt1533117,让子弹飞,"民国年间，花钱捐得县长的马邦德（葛优 饰）携妻（刘嘉玲 饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文 饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤 师爷。为汤师爷许..."" ", 中国大陆 ,姜文,"'姜文', '葛优', '周润发', '刘嘉玲', '陈坤'",1569645人评价,9.0,2010,https://movie.douban.com/subject/3742360/
tt0092067,天空之城,, 日本,宫崎骏,"'田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男'",766942人评价,9.1,1986,https://movie.douban.com/subject/1291583/
tt0253474,钢琴家,"史标曼（艾德里安•布洛迪 Adrien Brody 饰）是波兰一家电台的钢琴师。二战即将爆发之时，他们全家被迫被赶进华沙的犹太区。在战争的颠沛流离中，家人和亲戚最终被纳粹杀害，而史标曼本人也受尽种种羞..."" ", 英国 ,罗曼·波兰斯基,"'艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德'",570143人评价,9.3,2002,https://movie.douban.com/subject/1296736/
tt0167261,指环王2：双塔奇兵,, 美国 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '多米尼克·莫纳汉', '奥兰多·布鲁姆', '维果·莫腾森'",697261人评价,9.2,2002,https://movie.douban.com/subject/1291572/
tt0105323,闻香识女人,"查理（克里斯•奥唐纳 Chris O\'Donnell  饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔•帕西诺 ..."" ", 美国,马丁·布莱斯特,"'阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩', '加布里埃尔·安瓦尔', '菲利普·塞默·霍夫曼'",814370人评价,9.1,1992,https://movie.douban.com/subject/1298624/
tt3700392,海蒂和爷爷,"孤儿海蒂（阿努克·斯特芬 饰）被姨母迪蒂（安娜·希恩斯 饰）送上了阿尔卑斯山，与远离小镇独居于高山的祖父（布鲁诺·甘茨 饰）一同生活。活泼的海蒂在这里如鱼得水，不仅收获了羊倌彼得（奎林·阿格里皮 饰）..."" ", 德国 ,阿兰·葛斯彭纳,"'阿努克·斯特芬', '布鲁诺·冈茨', '昆林·艾格匹', '安娜·申茨', '伊莎贝尔·奥特曼'",520981人评价,9.3,2015,https://movie.douban.com/subject/25958717/
tt0095765,天堂电影院,, 意大利 ,朱塞佩·托纳多雷,"'菲利普·努瓦雷', '萨瓦特利·卡西欧', '雅克·贝汉', '马克·莱昂纳蒂', '莱奥波多·特里耶斯泰'",641536人评价,9.2,1988,https://movie.douban.com/subject/1291828/
tt0046250,罗马假日,"欧洲某国的安妮公主（奥黛丽·赫本 Audrey Hepburn 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格里高利·派克 Gregory ..."" ", 美国,威廉·惠勒,"'奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯'",894185人评价,9.1,1953,https://movie.douban.com/subject/1293839/
tt0133093,黑客帝国,"不久的将来，网络黑客尼奥（基奴李维斯 饰）对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂（凯莉·安·摩丝 饰），并见到了黑客组织的首领墨菲斯（劳伦斯·菲什伯恩 饰）。墨菲斯告诉他，现实世界其实..."" ", 美国,莉莉·沃卓斯基,"'基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '格洛丽亚·福斯特'",783327人评价,9.1,1999,https://movie.douban.com/subject/1291843/
tt0120737,指环王1：护戒使者,"比尔博·巴金斯是100多岁的霍比特人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几..."" ", 新西兰 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆'",787157人评价,9.1,2001,https://movie.douban.com/subject/1291571/
