Phylum,Class,Order,Family,Genus,Species
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus isolate ID8501092
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus CVL
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus PA153/05
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Common buzzard alphaherpesvirus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Yaounde virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Cacatuid alphaherpesvirus 1
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Murine mastadenovirus B
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Siadenovirus,Corella adenovirus 1
,,,,,Culex negev-like virus 3
Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,,Cygnet River virus
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck adenovirus 4
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Duck flavivirus Anhui/2010
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,,Duck parvovirus NM100
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,,Duck parvovirus NM4
,,,,,Hubei chryso-like virus 1
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Protoparvovirus Udayana_MDPVA
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Protoparvovirus Udayana_MDPVB
,,,,,RNA virus sp.
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Deltacoronavirus,Avian coronavirus MW05
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,,Sharp-tailed sandpiper Picornavirus B-like
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,,Coronavirus red knot/p60/2006/GBR
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Metaavulavirus,Avian metaavulavirus 15
Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,,Pernambuco nodavirus
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Red-necked stint avastrovirus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Gallivirus,Red-necked stint gallivirus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,,Red-necked stint Picornavirus B-like
Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,,Wenling callionymus kaianus calicivirus
Cressdnaviricota,,,,,Luscinia calliope CRESS-DNA-virus sp.
Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,,Luscinia calliope Genomoviridae sp.
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Marmoset adenovirus 1.2
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,White-headed marmoset gammaherpesvirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Callitrichine gammaherpesvirus 3
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,,Common marmoset adenovirus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,,HCV/GBV-B chimeric virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Hepacivirus,Marmoset pegivirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Saguinine gammaherpesvirus 1
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pegivirus,Southwest bike trail virus
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Simiispumavirus,White-tufted-ear marmoset simian foamy virus
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,,Callithrix penicillata papillomavirus type 1
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,,Callithrix penicillata papillomavirus type 2
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Gammaherpesvirus OtHV4
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,,Northern fur seal polyoma virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Otarine gammaherpesvirus 4
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Phocid alphaherpesvirus 1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Phocid gammaherpesvirus 2
Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,San Miguel sea lion virus 8
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Tyuleniy virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Callosciurus erythraeus betaherpesvirus 1
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Callosciurus erythraeus gammaherpesvirus 1
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus callosciuri
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Squirrel associated cyclovirus 1
Negarnaviricota,Monjiviricetes,Mononegavirales,Bornaviridae,Orthobornavirus,Orthobornavirus sciuri
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,,Paramyxovirus PREDICT_PMV-151
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Callosciurus prevostii betaherpesvirus 1
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Betapolyomavirus callosciuri
Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Coltivirus,Colorado tick fever coltivirus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Powassan virus
Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Latino mammarenavirus
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Lebombo virus
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,Mason-Pfizer monkey virus
Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus,Calomys tener Hepatitis E virus
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,,Calomys tener polyomavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Hantavirus Calomys/CPVRP147/Cajuru/BRA/2006
Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Arenavirus,Pinhal virus
,,,Anelloviridae,,Torque teno calomys tener virus
,,,,,Bawangfen virus
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,,Guangxi changeable lizard astrovirus
Pisuviricota,Pisoniviricetes,Picornavirales,,,Guangxi changeable lizard picornavirus 1
Pisuviricota,Pisoniviricetes,Picornavirales,,,Guangxi changeable lizard picornavirus 2
Duplornaviricota,Resentoviricetes,Reovirales,Reoviridae,,Guangxi changeable lizard reovirus
,,,Adomaviridae,,Brook salamander adomavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Ananindeua orthobunyavirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Capim orthobunyavirus
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus 1130
