Gene,C,Z,Pval,FDR,Module
AC092958.2,-0.0013088032913068713,-0.5442632487869935,0.7068698334278978,0.8448136170493433,
AL109628.1,-0.0005069669883063895,-0.5443173059139024,0.70688842999328,0.8448136170493433,
CDKL4,-0.002697627216392566,-0.5443455430123716,0.7068981438148835,0.8448136170493433,
SPA17,-0.001766205225334171,-0.5444234934224501,0.7069249586979334,0.8448136170493433,
REEP4,-0.00466262973992113,-0.5445725254954773,0.7069762224524586,0.8448136170493433,
LINC00115,-0.0014511998159690955,-0.5446032720129214,0.7069867980603914,0.8448136170493433,
AC079382.2,-0.0014336858644280212,-0.5446445774603436,0.7070010052514238,0.8448136170493433,
ZNF295-AS1,-0.006088796052657209,-0.5447616678772357,0.7070412772801126,0.8448136170493433,
APEH,-0.0014643600260518651,-0.5447655240372582,0.7070426035224783,0.8448136170493433,
AC022535.2,-0.0006108814827498345,-0.5448468736075125,0.7070705812883981,0.8448136170493433,
SPRY2,-0.0014128192420869003,-0.5450780956642973,0.7071500964681703,0.8448136170493433,
RNU5E-4P,-0.002615279145207951,-0.5451082662686545,0.7071604711278487,0.8448136170493433,
RN7SL364P,-0.0017525808619554687,-0.5452568990036342,0.7072115784531492,0.8448136170493433,
AL513174.1,-0.00030073343706095695,-0.545410915553118,0.7072645326321102,0.8448136170493433,
NR2F6,-0.0011093821846290246,-0.5455516921454607,0.707312930740114,0.8448136170493433,
LTF,-0.0007969646840750771,-0.5455681070713488,0.7073185738465523,0.8448136170493433,
AL596247.1,-0.0025386245740018146,-0.5456123575801094,0.7073337859894646,0.8448136170493433,
AC002310.1,-0.002113647091667883,-0.5456411452123227,0.7073436822112724,0.8448136170493433,
AP001407.1,-0.0007842270995096021,-0.5457327510636567,0.7073751721941918,0.8448136170493433,
AC093162.2,-0.0010727382875894442,-0.5457602403108356,0.707384621457338,0.8448136170493433,
AC090983.2,-0.0021118618501432874,-0.5457729397640204,0.7073889867700069,0.8448136170493433,
LINC01173,-0.0011975750216147532,-0.5458082592425615,0.7074011273357885,0.8448136170493433,
TBXA2R,-0.0019060030826183235,-0.5461017444565299,0.7075019996288806,0.8448136170493433,
C12orf29,-0.0024090104707327233,-0.5461625937597142,0.7075229118067325,0.8448136170493433,
AMPH,-0.0018474217448289445,-0.5461651885229706,0.7075238035377431,0.8448136170493433,
SLC26A9,-0.0009550075237477155,-0.5462689909737874,0.7075594758383165,0.8448136170493433,
CNTNAP1,-0.0031309590364941844,-0.5464061041706262,0.7076065924650186,0.8448136170493433,
HERC2,-0.0021921872784101313,-0.5464153041520493,0.70760975375638,0.8448136170493433,
DUSP8P5,-0.0029820807834729573,-0.5464916934517718,0.7076360019818032,0.8448136170493433,
FBXO24,-0.0011823047709468774,-0.546582914132721,0.7076673450016696,0.8448136170493433,
AC092745.2,-0.0006723827817059635,-0.5466898328410096,0.7077040798045896,0.8448136170493433,
NTHL1,-0.0031168525960329325,-0.5466930749878195,0.7077051936979386,0.8448136170493433,
LINC01100,-0.001463334623868471,-0.5468168806145485,0.7077477276986508,0.8448267566101272,
HYLS1,-0.0016163325691890796,-0.5473671680120927,0.7079367466532962,0.8449277462763475,
AL359979.1,-0.0006674361420245392,-0.5473963070130118,0.7079467540610898,0.8449277462763475,
TBCD,-0.0014769569593423638,-0.5473969894599245,0.7079469884366207,0.8449277462763475,
AC092652.3,-0.0011352513820865626,-0.5474303743089545,0.7079584538247875,0.8449277462763475,
AC138028.2,-0.00357926108424931,-0.5477928081747973,0.7080829113200537,0.845038646773113,
AC241377.2,-0.0006302621193951109,-0.5479257170016569,0.7081285451789797,0.8450413521376825,
AC117373.2,-0.0005337693120059521,-0.5479949197790809,0.7081523044356572,0.8450413521376825,
AL354754.1,-0.0004784058686899581,-0.5481154139498734,0.7081936713176985,0.8450413521376825,
STON2,-0.0008945182006882979,-0.5481858133392268,0.708217838884228,0.8450413521376825,
RAD54B,-0.001953547868606054,-0.5483697822670675,0.708280989592658,0.8450413521376825,
SCTR,-0.0008737123562415236,-0.5484579601585231,0.7083112560126639,0.8450413521376825,
LINC01141,-0.0007263102273976585,-0.5485564094189658,0.7083450462759887,0.8450413521376825,
LNCARSR,-0.0016661359819278665,-0.5485861257474448,0.7083552453091138,0.8450413521376825,
DLGAP1-AS5,-0.001143351002452835,-0.5486640053496548,0.708381973819705,0.8450413521376825,
AC087645.2,-0.0017434804162193083,-0.549017032856268,0.7085031195837105,0.8450413521376825,
LINC00997,-0.004953107570691055,-0.5490767861645741,0.7085236223490301,0.8450413521376825,
PLAAT5,-0.0007848522804977279,-0.5491062841541156,0.7085337435549587,0.8450413521376825,
CD8B2,-0.0015282599727580082,-0.5492286808010839,0.7085757379425304,0.8450413521376825,
AL356608.2,-0.0011817753368941778,-0.5492852482778837,0.708595145335325,0.8450413521376825,
AC006299.1,-0.0012242451231615583,-0.5495021215330224,0.7086695454780451,0.8450413521376825,
CCDC136,-0.0013160216226980874,-0.5495209831389197,0.7086760156870754,0.8450413521376825,
AC112178.1,-0.0014621445262691828,-0.5496173709387203,0.7087090791211786,0.8450413521376825,
AC015908.3,-0.0008210467045973254,-0.5496395741384629,0.7087166951276631,0.8450413521376825,
SCAT1,-0.0026316616592815373,-0.5496486186903752,0.7087197975081886,0.8450413521376825,
AC097460.3,-0.003007693815125124,-0.5497130362812799,0.7087418930024271,0.8450413521376825,
MT-TG,-0.0021650599005292774,-0.549839632572301,0.7087853137625173,0.8450413521376825,
GPC1,-0.0022453687700175855,-0.5499358700627061,0.7088183198558843,0.8450413521376825,
TMEM187,-0.00612466495787465,-0.5500358380346207,0.7088526035242732,0.8450413521376825,
ELP6,-0.0015262453898266463,-0.5500404858512224,0.7088541974309598,0.8450413521376825,
AC018767.1,-0.0011288912751335784,-0.5501206036799474,0.7088816721307585,0.8450413521376825,
AC091564.5,-0.0029340847232995335,-0.5501888833854177,0.7089050862430534,0.8450413521376825,
AC093240.1,-0.0006697463039765385,-0.5504646287648339,0.7089996344278834,0.8451164629582311,
CAPN14,-0.0009057256871592323,-0.5507224487578916,0.709088023335515,0.8451842256614979,
KCTD11,-0.0004167408657906225,-0.551151188696355,0.7092349812578833,0.845257132225445,
MIR497HG,-0.003597409723053468,-0.5511768369162807,0.7092437715219492,0.845257132225445,
AC106886.2,-0.00331052792890291,-0.5512844001802301,0.7092806346954785,0.845257132225445,
AC010105.1,-0.0013750452653001318,-0.5517959689409461,0.7094559252971256,0.845257132225445,
FAM192BP,-0.002452711782947079,-0.5518995014707304,0.7094913950168085,0.845257132225445,
CDH9,-0.001927096341490916,-0.5519274597044611,0.7095009730183783,0.845257132225445,
AC008751.3,-0.0014383746189317434,-0.5519500986989188,0.709508728633375,0.845257132225445,
ZFY-AS1,-0.0022616293797248226,-0.5521960224403835,0.7095929703821264,0.845257132225445,
AL589645.1,-0.0011126301002643865,-0.5522181572553748,0.7096005521533248,0.845257132225445,
DNAAF1,-0.0017939193680675649,-0.5522547005856978,0.7096130690268829,0.845257132225445,
MAPT,-0.0013964439913995669,-0.5523065090048073,0.709630814087474,0.845257132225445,
AL049844.1,-0.005276985116071926,-0.5523544762465131,0.7096472430419283,0.845257132225445,
AC090772.2,-0.0038217070036555547,-0.5523709769540607,0.709652894493557,0.845257132225445,
HTR4,-0.0029746424336906598,-0.5524723229855777,0.7096876041295501,0.845257132225445,
FAUP1,-0.0022876730077003864,-0.5524910755536984,0.7096940264157631,0.845257132225445,
