Gene,C,Z,Pval,FDR,Module
STK39,0.031013910635772034,1.7475090550185577,0.04027453779390174,0.05435874398226849,
RBX1,0.07785133308974398,1.747485643515745,0.04027656653499338,0.05435874398226849,
TBC1D16,0.04152937671951363,1.7472701012564986,0.0402952484089235,0.05437356919973937,
IFT122,0.03978603064275447,1.7466347508795217,0.04035035761233772,0.05443753364659161,
AC099811.2,0.049024982387615545,1.7465010008187132,0.04036196665850578,0.05444279787582295,
BCR,0.04173642529086342,1.7460037770802992,0.04040514775799298,0.05449063836625858,
SET,0.06462510434642608,1.7456352460370217,0.04043717681573701,0.05452342375002219,
TMEM41B,0.044832012085768855,1.7454952964469455,0.04044934524335615,0.05452942267157783,
STAB1,0.030404958540665876,1.7452373368588567,0.04047178227113936,0.054549259676269495,
PPP2R1A,0.034216498328506297,1.744769778661704,0.040512475699089966,0.05459369102219983,
CBX6,0.05514994303405995,1.7445923195437487,0.04052792935724239,0.054604099366690875,
ETV6,0.035680372240468806,1.7436096004266124,0.040613594054650815,0.054709082456531916,
MRPL28,0.04397107573131632,1.743210888925646,0.040648392055554046,0.05474551791809987,
CCNDBP1,0.033799202843412236,1.742848324091259,0.04068005631824917,0.05477771975450098,
ATXN1,0.04130119312354815,1.7424186292165476,0.04071760923788979,0.05481051793473984,
DECR1,0.05275133164657101,1.7423920643181754,0.04071993178390638,0.05481051793473984,
SEC23A,0.043330536730768206,1.7422515442006095,0.040732219124320374,0.05481661190592477,
AKIRIN2,0.02192483517565282,1.7419635804279368,0.04075740861264157,0.054840063702800014,
PPP1R9B,0.029734023334389233,1.741824242577766,0.04076960165913627,0.05484189694868424,
MAN2B1,0.042149552968426894,1.7417705807112969,0.040774298241009296,0.05484189694868424,
ZNF618,0.03545158722406102,1.7413258430748964,0.04081323936731073,0.054883823127866556,
MEFV,0.02414366301932394,1.7399286768509483,0.04093577125960599,0.055038121084479766,
BTBD10,0.04341064942795618,1.739026937402652,0.041015012401558464,0.05513416700373149,
DCAF5,0.03812710827417988,1.7389232025464045,0.041024136166170115,0.055135939474472165,
TIMM17B,0.015786911963163116,1.7372640097345913,0.04117029055370942,0.055321843726726896,
UQCC1,0.035243480230762764,1.7371456706191883,0.041180730876512174,0.055325348594842526,
WBP4,0.04191279080178034,1.7359129041413082,0.041289617882609694,0.05546108779668281,
PPTC7,0.030173331465719,1.7354795027465697,0.04132795448571478,0.05550112034602156,
WAS,0.03601118723270974,1.735398361327264,0.0413351350708408,0.05550112034602156,
VIPR1,0.030680819857619248,1.733791622364089,0.04147753132665622,0.0556817334267388,
LDHA,0.10620591015411623,1.7336626443936174,0.04148897913384679,0.0556865188298487,
STRN,0.031417088740523465,1.733116863343811,0.04153744982745986,0.05573729651549438,
EP400P1,0.031239928452265146,1.733010951930517,0.041546861109953474,0.05573729651549438,
ANKRD27,0.06174696961982127,1.7329702110533693,0.041550481802179136,0.05573729651549438,
EIF4EBP2,0.038896412612738365,1.7318240920400223,0.04165244361651699,0.055863463396065315,
FO393401.1,0.05559087362497247,1.730981512535877,0.04172753093769941,0.05593789434490703,
TRIM44,0.041167498563976,1.7308033665669926,0.041743420626804854,0.05593789434490703,
ATE1,0.034872653807035955,1.730802103023298,0.04174353334579646,0.05593789434490703,
EXOSC6,0.03604912583665825,1.7307607413483777,0.041747223299925314,0.05593789434490703,
SELL,0.037068032267610664,1.73069830589945,0.0417527937860798,0.05593789434490703,
GABARAPL2,0.03697809200546322,1.730668508057368,0.04175545255955475,0.05593789434490703,
EIF1AX,0.034183065860790736,1.7305221039177978,0.041768517760625734,0.05593893937755249,
MROH1,0.04996854188932243,1.7304823008203178,0.041772070387399406,0.05593893937755249,
DHX57,0.054613435551003654,1.7302505258455678,0.04179276233197543,0.05595604115107552,
SUFU,0.03652758616280671,1.7282368696963064,0.04197288304397786,0.05618655406910358,
ITCH,0.03758649641286468,1.72719490132703,0.04206633311857315,0.05630098089230783,
